Country Name,Country Code,2021 [YR2021] - Gini index [SI.POV.GINI],2021 [YR2021] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2021 [YR2021] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2021 [YR2021] - Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",2021 [YR2021] - Individuals using the Internet (% of population) [IT.NET.USER.ZS],"2021 [YR2021] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",2021 [YR2021] - Population density (people per sq. km of land area) [EN.POP.DNST],2021 [YR2021] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2021 [YR2021] - Population growth (annual %) [SP.POP.GROW],"2021 [YR2021] - Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]",2021 [YR2021] - Trade (% of GDP) [NE.TRD.GNFS.ZS]
North Macedonia,MKD,..,7620.80296977508,..,73.2463414634146,3.23074912132928,81.873703,15.801,72.8435368754956,61.6841975628139,-1.02945804668594,..,146.721411484074
Northern Mariana Islands,MNP,..,19455.50139424,..,78.16,..,..,..,102.128260869565,91.7842137303802,-1.16183177026859,..,78.8840262582057
Norway,NOR,29.1,93072.8925119571,..,83.1634146341463,3.48388055266669,99.0000036,4.359,14.8470090866665,82.8612877226956,0.534772281874925,88.2283172607422,71.2227137759599
Oman,OMN,..,19403.4600160211,..,75.969,1.68221185876085,95.23880005,1.9,14.5409499192246,80.1239942103569,-0.489266037731458,88.7257308959961,95.9494877293305
Pakistan,PAK,..,1455.31922370186,58.8600006103516,65.773,9.49641577285205,..,6.338,310.65509677252,37.9333395514173,1.8867779716011,..,27.0304204125548
Palau,PLW,..,13009.2481630213,..,68.563,2.6124818577648,..,..,38.6586956521739,79.0890798782416,-0.0505973306648282,..,81.1478453400346
Panama,PAN,50.9,15509.8069124139,96.2119100135584,77.004,1.63070337301898,66.04270172,10.177,58.5791992450795,65.8092302689169,1.20723809203153,..,80.1334636057057
Papua New Guinea,PNG,..,2607.57861874444,..,64.358,4.48359014042398,16.55960083,3.03,22.1103564015369,14.4398342822353,1.98860312209741,..,..
Paraguay,PRY,42.9,5976.93179789949,..,68.108,4.787983101236,77.01838621,7.311,16.8240171155298,67.3058612772421,1.21078357917422,94.2482299804688,69.74227302112
Peru,PER,40.1,6826.20255614477,..,71.596,4.27166381536798,71.10782643,5.097,25.9030328125,83.9480118272361,0.961612354333265,81.9158096313477,55.427249365522
Philippines,PHL,40.7,3484.38593882819,..,66.675,3.92718022100332,66.90779877,3.398,379.317000368917,54.4504102510776,0.905660310915421,..,63.4846098136712
Poland,POL,28.5,18635.5104895754,..,75.3512195121951,5.05502704719272,85.37490906,3.268,120.815285854296,59.8096513205543,-1.4341408496549,93.4953765869141,110.874283021945
Portugal,PRT,34.6,24711.4510062111,..,81.3780487804878,1.26565719069044,82.30902804,6.712,113.113510527741,61.0951249296597,0.626850165433157,96.3452072143555,85.8735452148975
Puerto Rico (US),PRI,..,32619.0704601174,..,79.77,..,84.78666399,7.9,367.836640360767,94.0550712597302,-0.576961615031384,..,96.7453625315476
Qatar,QAT,..,71751.9363398856,..,81.083,2.30446565742003,99.65280151,0.14,218.007832898172,99.203408908243,-10.9274424335586,..,92.7790897626963
Romania,ROU,33.9,14907.9803652143,99.1600036621094,72.809756097561,5.05232876096582,83.5904265,5.59,83.1104789638387,52.2321512130811,-0.746036478523061,93.1013412475586,87.0711965460145
Russian Federation,RUS,35.1,12425.029296875,99.9300003051758,69.900243902439,6.69445891957612,88.21384578,4.749,8.83848757424343,74.7516840220252,-0.343724409889771,..,50.5861954621752
Rwanda,RWA,..,829.544845263697,..,66.85,-0.391346748300791,24.4416008,15.775,541.35630320227,26.1049092762833,2.1909353521865,64.7087478637695,54.2938318463367
Samoa,WSM,..,4021.55934894283,..,71.096,3.13320473174494,..,6.664,76.8989208633094,17.5672426452007,0.862068229419543,..,59.7697791857954
San Marino,SMR,..,54176.4798021628,..,83.539,1.61551411551421,81.66999817,..,570.866666666667,97.1035668453272,-1.50099888558244,99.4057464599609,342.470174007962
Sao Tome and Principe,STP,..,2362.58827248102,..,68.026,8.13777038378732,54.94950104,9.563,231.209375,68.1738967895508,2.06017354745306,..,..
Saudi Arabia,SAU,..,31920.7653655643,..,77.089,3.06328988941548,100,6.621,14.320382473752,83.9716349986538,-2.46456261487283,..,50.8839263398787
Senegal,SEN,36.2,1598.10676952274,..,66.868,2.18032278088147,55.04040146,3.436,89.4451098530099,52.2260292191155,2.53848919398481,92.9544677734375,69.3759939883832
Serbia,SRB,33.1,9680.52798074468,..,72.780487804878,4.08510285335102,81.16588116,9.843,81.2739445831847,61.363899230957,-0.943688169512831,97.3565673828125,112.342298324945
Seychelles,SYC,..,14982.9111487767,..,73.3975609756097,9.76909936973542,81.99530029,..,215.778260869565,44.6026796065539,0.805183391179401,..,183.77081501466
Sierra Leone,SLE,..,885.396401885395,..,60.26,11.8739588840234,18.65390015,3.551,112.144666112497,43.7345385973699,2.27463021517533,77.2283630371094,42.1435161280127
Singapore,SGP,..,80056.1288247844,97.6500015258789,83.0926829268293,2.31610315765146,96.92468156,4.64,7595.49582172702,100,-4.17033630017526,..,329.161383683762
Sint Maarten (Dutch part),SXM,..,32548.4366854902,..,74.505,..,..,..,1222.67647058824,100,1.36356391629724,..,..
Slovak Republic,SVK,24.1,22123.3342114545,..,74.6146341463415,3.14960629921268,88.92560523,6.894,113.295486688852,53.1901479870605,-0.212358807611049,94.1758575439453,181.97948448512
Slovenia,SVN,24.3,29192.8401933019,..,80.6756097560976,1.91706506089259,89.00399524,4.744,104.689964442502,55.3046289429588,0.268851969969908,92.2954864501953,161.788727511439
Solomon Islands,SLB,..,2043.44413170658,..,68.89,-0.115437894412839,26.03790092,0.879,27.2451232583065,28.6889396820578,2.40116798691356,..,67.4200567835061
"Somalia, Fed. Rep.",SOM,..,549.056994756254,..,55.703,..,23.87479973,19.662,27.5312127395033,52.9060649733324,3.65720037777736,..,79.0994411051355
South Africa,ZAF,..,6828.75624590017,90,62.01,4.61874544887136,74.96859741,34.007,50.6991261983859,63.4503925883909,1.54055743832642,96.4766082763672,56.1647136277546
South Sudan,SSD,..,..,..,57.047,10.5167158294358,..,13.95,17.1945943379805,20.4811115270532,1.55179411079181,..,..
Spain,ESP,33.9,30799.4775937775,99.6999969482422,83.1780487804878,3.09313511976419,93.89752157,14.914,94.9382927184248,79.7846242983598,0.178046695121711,94.0092010498047,66.524588943191
Sri Lanka,LKA,..,3996.96240014909,92.4300003051758,76.278,7.01478071238195,44.45308724,4.981,358.163595215002,19.8266275195269,1.07544995696428,..,41.2288463291999
St. Kitts and Nevis,KNA,..,18361.1449697886,..,69.271,1.195688870384,74.37159729,..,179.857692307692,31.5393525093972,-0.228551998925832,65.1652526855469,..
St. Lucia,LCA,..,10459.1321248092,..,69.119,2.41070312174393,63.06330109,20.514,292.659016393443,27.4443458949551,0.152478363043745,..,..
St. Martin (French part),MAF,..,21668.3776525323,..,80.206,..,..,..,599.22,100,-5.91294053455205,..,..
St. Vincent and the Grenadines,VCT,..,8641.27904024443,..,69.132,1.57272932500558,68.83339691,20.356,263.694871794872,47.4554100739049,-0.663868269423874,..,..
Sudan,SDN,..,712.122009277344,..,64.46,359.093040778999,..,11.087,25.7317580299786,34.6421563427994,2.6941220236505,..,4.12754863828426
Suriname,SUR,..,5029.84838543953,..,68.943,59.1196626251977,..,8.706,3.84963678669192,65.9853973388672,0.907003624018977,..,..
Sweden,SWE,29.8,60647.5416365347,..,83.0560975609756,2.16319736447143,94.6703163,8.803,25.5740792575133,88.1741651958315,0.600591532839468,94.2383804321289,91.1102374413042
Switzerland,CHE,33.8,93664.7736696111,..,83.7512195121951,0.581814168489855,95.56937154,5.013,220.31454103721,84.2006477608879,0.765501039496593,..,130.016261288489
Syrian Arab Republic,SYR,..,663.614245706815,94.4199981689453,72.418,..,..,14.887,117.784888090181,73.0125007629395,2.71541292038855,..,61.2204850955149
Tajikistan,TJK,32.4,896.748053372182,..,69.594,..,36.70560074,7.687,71.8128683622739,26.1991525151375,2.20738922074721,..,71.825937435383
Tanzania,TZA,..,1159.85656738281,..,66.131,3.69091958802199,22.87540054,1.876,70.9306976744186,34.3500111758619,3.00113934816488,..,29.9151840074048
Thailand,THA,34.9,7057.20754802279,..,77.606,1.23039541318384,85.26956666,1.215,140.396821233534,58.5087776184082,0.119758274714782,..,117.252944620852
Timor-Leste,TLS,..,2684.92676774277,..,66.199,3.69792094666786,35.04199982,2.344,90.7961667787492,28.7927371734472,1.80006893139932,..,99.8599994214434
Togo,TGO,37.9,962.075187515872,..,61.337,4.1862150652352,30.33839989,2.344,163.235502849789,42.3105904515122,2.37825002957617,..,56.3775580757321
Tonga,TON,27.1,4922.80171378368,..,72.13,5.64051140636751,57.549,2.111,146.513888888889,21.258003897665,-0.202657341819835,..,68.5461486002269
Trinidad and Tobago,TTO,..,17712.5674104655,..,71.111,2.05922746915458,84.36576986,4.446,266.580506822612,53.9421278853848,0.0609300519200696,93.4706573486328,..
Tunisia,TUN,33.7,3906.93926319391,83.6800003051758,72.893,5.706350208307,68.31552226,16.632,77.5529222451081,69.3997523770568,0.620790374510459,..,93.6334140664079
Turkiye,TUR,44.4,9981.76398411336,97.2600021362305,75.722,19.5964926913324,81.40843745,11.969,109.334768655068,89.1762048153239,0.910444902564511,90.3908615112305,69.6088976086437
Turkmenistan,TKM,..,5723.30227157906,..,69.353,..,..,4.458,15.0917008916222,47.0581410301711,2.02444537373143,98.4074401855469,33.0581170797482
Turks and Caicos Islands,TCA,..,27329.2885087196,..,77.234,..,..,..,47.6242105263158,93.4467025398547,1.91238576461203,..,..
Tuvalu,TUV,..,5905.08198095343,..,65.824,..,..,..,339.8,62.6098296425994,-1.99103357602457,..,..
Uganda,UGA,..,882.791717542504,79.0476540680567,66.45,2.20457204757414,10,3.416,228.959355675244,29.2362957789022,3.21773661761443,..,41.7136307424781
Ukraine,UKR,..,4775.94580078125,..,71.631,9.36313917695223,79.21829353,9.834,76.4560579910252,69.4027032653896,-0.857231073467664,96.1596374511719,82.69796136345
United Arab Emirates,ARE,..,44118.5047192771,98.129997253418,79.083,0.179935336174431,100,3.105,134.823317375387,85.3571908511355,1.83513009029147,79.4639129638672,182.909355066597
United Kingdom,GBR,32.4,47691.3768799404,..,80.6473170731707,2.51837109614213,96.19650269,4.864,276.873475798785,82.9886431523641,0.358937930235741,92.3381271362305,58.53838629291
United States,USA,39.7,70205.050916026,..,76.3292682926829,4.69785886363742,91.2684021,5.349,36.3052926398919,80.0074765140272,0.157317408951545,90.4010391235352,25.6095576621932
Uruguay,URY,40.8,17881.818721099,..,75.434,7.74791402314762,87.64440155,9.328,19.4074677179751,95.4497146606445,-0.0668956092956434,95.9268264770508,58.3150410230338
Uzbekistan,UZB,32.9,2258.51964119278,100,71.681,10.8492397508122,76.59043014,5.364,77.7112512566577,50.9269905090332,1.9382099918182,97.5522308349609,57.4589716973222
Vanuatu,VUT,..,3107.20312858002,..,69.952,2.34328358208953,..,4.776,25.0917145200984,22.2501822422475,2.31850921412366,..,59.9521259721408
"Venezuela, RB",VEN,..,2004.93397949792,..,71.536,..,74.11219788,7.027,32.0138608922397,89.1766444746891,-0.727752243229035,..,29.2263400311727
Viet Nam,VNM,..,3704.1935590038,..,74.145,1.83471554810444,74.20999985,2.383,315.653937574379,36.6540656426603,0.868883560805873,..,186.675832836814
Virgin Islands (U.S.),VIR,..,42571.0777368471,..,80.0682926829268,..,..,13.508,302.485714285714,95.1604310610968,-0.395928119020198,..,180.297315287331
West Bank and Gaza,PSE,..,3678.63565662194,97.6840000894857,73.89,1.23748102831369,..,26.39,817.05377593361,86.334956387337,2.45703865277568,97.7540588378906,73.0835496162129
"Yemen, Rep.",YEM,..,..,..,66.019,..,..,18.312,70.3453415913783,36.0704951256305,2.74426152997255,..,..
Zambia,ZMB,..,1127.16077872857,79.9494621864846,62.363,22.0207676245777,14.82190037,5.197,26.3705551594721,44.2353731410926,2.81534240626742,..,86.2085111934645
Zimbabwe,ZWE,..,2613.60542083552,..,60.135,98.5461050920624,32.5923996,9.54,40.8354917926845,37.8692058859373,1.72601114303872,..,44.1145594899855
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,
