Country Name,Country Code,2021 [YR2021] - Gini index [SI.POV.GINI],2021 [YR2021] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2021 [YR2021] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2021 [YR2021] - Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",2021 [YR2021] - Individuals using the Internet (% of population) [IT.NET.USER.ZS],"2021 [YR2021] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",2021 [YR2021] - Population density (people per sq. km of land area) [EN.POP.DNST],2021 [YR2021] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2021 [YR2021] - Population growth (annual %) [SP.POP.GROW],"2021 [YR2021] - Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]",2021 [YR2021] - Trade (% of GDP) [NE.TRD.GNFS.ZS]
Cameroon,CMR,42.2,1672.32657340872,..,61.146,2.27185762503637,38.89260101,3.976,56.9392608576083,54.5548664463635,2.65496076580698,..,36.7308347188558
Canada,CAN,31.1,52886.6616372703,..,81.4514634146342,3.39519318527527,93.93710327,7.527,4.351026204103,82.1779279079275,0.553902422386893,91.4880065917969,62.2468367159421
Cayman Islands,CYM,..,86449.6749037302,..,79.3,..,..,..,292.116666666667,100,2.05206347593734,58.4302711486816,..
Central African Republic,CAF,43,492.263142830507,..,40.279,4.25936417542868,..,6.701,8.20588140871296,42.8547782897949,1.68608971248183,..,44.159119995104
Chad,TCD,..,946.358500208374,..,53.136,-0.77284437035914,9.653699875,1.53,14.1584124841169,25.2312246423075,3.44423869357111,..,43.9465041015895
Channel Islands,CHI,..,66915.3963925722,..,80.3,..,..,6.643,842.126262626263,32.8148141071941,0.30392604241618,..,..
Chile,CHL,..,16206.8325493421,..,78.876,4.52456838259143,90.23280334,9.281,26.192118041714,88.4660511664452,0.441498091207504,94.5388870239258,64.8774063237834
China,CHN,35.7,12887.4357242941,..,78.117,0.981015135544881,73.05323517,4.55,150.439753691066,64.721076965332,0.0892522000412526,..,36.5206911762676
Colombia,COL,55.1,6222.62164397614,95.6606500324449,72.698,3.49505757399448,73.02837449,13.898,46.1362532672375,77.8339570326128,1.09642825395961,..,40.0591463936128
Comoros,COM,..,1554.97289190153,75.6201980162165,65.201,-0.00441793682346988,30.68120003,4.394,439.642127888232,32.4124444313246,1.97631988078353,..,42.0677236368446
"Congo, Dem. Rep.",COD,..,595.743074403567,..,60.044,..,16.1595993,5.289,43.7347795593392,43.6290681792218,3.23790848096045,..,75.3870523860732
"Congo, Rep.",COG,..,2516.16255145432,..,64.192,1.7156427545126,30.02739906,21.998,17.2538301610542,63.6179125824196,2.39414288318435,..,85.5462031552188
Costa Rica,CRI,48.7,12838.1185358931,..,78.05,1.72647755109241,82.74901607,15.139,99.0988640814728,77.9868940200009,0.508564932290693,97.0871124267578,70.7816423027085
Cote d'Ivoire,CIV,35.3,2455.98127641148,50,60.29,4.15919657911797,35.95069885,2.623,93.2067169811321,52.3183461956059,2.47398737434864,95.2014617919922,45.1140327762435
Croatia,HRV,28.9,17788.7865816658,..,76.4243902439025,2.55450699642041,81.25396608,7.483,69.3170300214439,56.7683502560171,-0.904000889163613,94.4483337402344,102.328697150799
Cuba,CUB,..,..,..,73.201,..,67.64354869,2.11,107.149980732177,77.0987701416016,-0.486006262271645,..,80.0237703083904
Curacao,CUW,..,17795.5826616182,..,75.686,..,..,..,346.72972972973,91.391865832772,-0.991508623687595,..,..
Cyprus,CYP,31.3,32937.83984375,..,80.573,2.44608867175474,90.75951564,7.513,142.565909090909,66.6718365394971,1.1499785451605,96.5593414306641,176.82773681987
Czechia,CZE,26.2,27696.4619527544,..,77.2219512195122,3.83984491500146,82.67062427,2.803,136.108349053848,72.6810594374316,-1.81187141002542,90.0114669799805,137.378116302868
Denmark,DNK,28.3,69340.7334922138,..,81.4048780487805,1.85304543989689,98.8658506,5.065,146.418325,88.2616449318149,0.433414489409722,93.2840194702148,112.321472697291
Djibouti,DJI,..,3025.91126413549,..,63.83,1.18086783934059,61.41120148,27.628,48.3713546160483,72.2882954556515,1.44268944208775,..,263.477728733891
Dominica,DMA,..,8376.40414141113,..,69.832,2.22891330700343,78.07949829,..,89.6026666666667,72.2613620044042,-0.550548598917183,..,..
Dominican Republic,DOM,38.5,8527.0754858205,93.7309714425844,71.757,8.24300347981809,85.24298638,7.702,230.786990834893,72.9243347395035,1.04082961778304,..,51.9500227303115
Ecuador,ECU,45.8,6061.32350181711,94.4800033569336,72.746,0.133251386096389,69.1147995,4.504,71.1968674504751,63.0871268249117,0.774314023514489,96.6617431640625,53.261275610573
"Egypt, Arab Rep.",EGY,28.5,3827.35415374308,82.0803858167894,68.976,5.21404940513042,72.05599976,7.441,111.464169973379,42.5686062621468,1.4908053906311,..,29.8569734808122
El Salvador,SLV,39,4642.60743101342,89.0586486323527,69.941,3.46692585313082,57.26380157,4.327,301.919980694981,73.6838531494141,0.338002420196154,78.255859375,81.8450759800765
Equatorial Guinea,GNQ,..,6945.63069794539,..,62.447,-0.0971007664640198,58.71730042,8.821,62.7018181818182,70.6431215020592,2.43551071649529,..,76.9666485998527
Eritrea,ERI,..,..,..,66.94,..,..,6.489,27.6467466920618,34.9871139526367,1.77411588481268,..,..
Estonia,EST,31.8,27951.1659277744,..,76.9439024390244,4.65316673847472,90.97970174,6.178,31.1329122807018,70.1777274135822,0.105996956310127,88.1552124023438,160.471922305927
Eswatini,SWZ,..,3984.00229174306,..,58.228,..,53.99530029,34.153,70.1507558139535,25.0156180525173,1.15567266949473,..,89.9313874866569
Ethiopia,ETH,31.1,893.00983544905,54.8853699463392,65.33,26.8395221557722,16.6981031,3.935,108.230378298522,22.1067085266113,2.67249538803955,..,24.3450574647644
Faroe Islands,FRO,..,69415.1853254579,..,82.6763219512195,..,..,..,38.9021897810219,38.8083763122559,1.38107824235297,..,103.488037146112
Fiji,FJI,..,4536.73312110335,..,64.904,1.53454853751591,70.56800079,5.225,50.1757525998905,57.6618364761928,0.190863715994045,..,..
Finland,FIN,27.7,53099.1351400148,..,81.8853658536585,2.19457432340007,92.80806082,7.617,18.2301659134121,73.3710215780329,0.207288594407348,89.7948913574219,79.7892781913782
France,FRA,31.5,43725.0999521245,..,82.3243902439024,1.64233141038393,86.09548575,7.871,125.879601076167,78.7364603392338,0.356902332389048,91.2592086791992,63.788482630872
French Polynesia,PYF,..,21426.3854449835,..,79.571,..,..,12.558,80.6084701815039,61.7399813226008,0.208586464560115,..,52.9788183937695
Gabon,GAB,..,8181.40914134656,88.8600006103516,67.072,1.0869074651941,65.76809692,21.223,9.22389878526798,90.7881967286967,2.30612435799096,..,85.3483122054007
"Gambia, The",GMB,..,781.890925169531,51.6399993896484,63.847,7.37034758876618,41.67309952,6.213,254.546442687747,62.7550706637859,2.36774778418782,..,42.0979827971754
Georgia,GEO,34.2,5083.60695484577,99.9180842054209,71.635,9.56691433824769,76.4427093,11.785,64.8834808775675,59.4293560618005,-0.379636607027231,..,101.60090754891
Germany,DEU,33.6,52349.2459994422,..,80.790243902439,3.06666666666673,91.43060973,3.594,238.118085806692,81.6325870653934,0.0423270572552137,90.5738906860352,79.9195348609851
Ghana,GHA,..,2445.18662529344,76.4899978637695,64.286,9.9710886750444,68.6,3.2,142.918455784436,56.6952556826536,1.95904584379494,..,62.7078309128346
Gibraltar,GIB,..,..,..,80.274,..,..,..,3685.8,100,1.87597072209458,..,..
Greece,GRC,32.9,20654.7001960815,..,80.0829268292683,1.22382501019854,78.49426371,14.656,81.9953995345229,78.3884898647442,-1.21680248998544,..,88.0126654490379
Greenland,GRL,..,58135.9939910203,..,71.2614634146342,..,..,..,0.138026556218784,87.5452017613678,0.506106194434674,..,83.6838572277142
Grenada,GRD,..,9617.28902905373,..,74.522,1.21951193916838,67.02279663,..,343.2,36.2831603706908,0.297817230024271,..,..
Guam,GUM,..,38074.8793745801,..,75.434,..,..,6,303.203703703704,94.0884327694075,0.964756108149453,..,61.8383060635226
Guatemala,GTM,..,4912.62240414681,..,67.858,4.26105127422813,50.84164945,2.174,164.227790220231,54.9047071553758,1.3807587059317,96.4764862060547,49.2611494576228
